postalCode,Population,,,,,,,,
12575,1970,,,,,,,,
12566,10596,,,,,,,,
12491,1799,,,,,,,,
12583,2524,,,,,,,,
14170,2370,,,,,,,,
12977,1733,,,,,,,,
12789,1855,,,,,,,,
14472,8308,,,,,,,,
12531,3492,,,,,,,,
12775,2180,,,,,,,,
14555,1182,,,,,,,,
14136,5109,,,,,,,,
12701,10917,,,,,,,,
12419,446,,,,,,,,
14892,8000,,,,,,,,
12863,655,,,,,,,,
12585,901,,,,,,,,
14414,7062,,,,,,,,
13795,3638,,,,,,,,
13117,143,,,,,,,,
13662,16692,,,,,,,,
12564,7224,,,,,,,,
12140,1461,,,,,,,,
12184,6851,,,,,,,,
12571,10191,,,,,,,,
12414,10463,,,,,,,,
12974,1393,,,,,,,,
12018,7919,,,,,,,,
14589,7573,,,,,,,,
14870,10647,,,,,,,,
10986,1887,,,,,,,,
12572,8859,,,,,,,,
13036,8465,,,,,,,,
10914,421,,,,,,,,
14057,8241,,,,,,,,
12594,4180,,,,,,,,
14716,3100,,,,,,,,
13148,10647,,,,,,,,
12451,1986,,,,,,,,
13346,6457,,,,,,,,
14487,5539,,,,,,,,
10516,5327,,,,,,,,
14432,6304,,,,,,,,
12106,2380,,,,,,,,
13032,13230,,,,,,,,
13612,2904,,,,,,,,
14511,379,,,,,,,,
12413,2645,,,,,,,,
13076,2451,,,,,,,,
12123,5293,,,,,,,,
13165,10919,,,,,,,,
12170,4894,,,,,,,,
11976,2301,,,,,,,,
12530,55,,,,,,,,
13669,16436,,,,,,,,
13641,49,,,,,,,,
14733,4352,,,,,,,,
13314,606,,,,,,,,
14428,8003,,,,,,,,
13060,2461,,,,,,,,
13845,60,,,,,,,,
13655,3414,,,,,,,,
12489,943,,,,,,,,
13456,4246,,,,,,,,
12578,2372,,,,,,,,
12025,5471,,,,,,,,
14011,9957,,,,,,,,
14475,227,,,,,,,,
10969,1665,,,,,,,,
14001,9790,,,,,,,,
14025,3210,,,,,,,,
10998,2699,,,,,,,,
12037,4416,,,,,,,,
13132,3420,,,,,,,,
14808,475,,,,,,,,
14482,8265,,,,,,,,
10931,908,,,,,,,,
14546,4843,,,,,,,,
12871,4282,,,,,,,,
14865,2787,,,,,,,,
12787,490,,,,,,,,
14135,143,,,,,,,,
12962,6009,,,,,,,,
12516,2168,,,,,,,,
13476,2931,,,,,,,,
12956,1260,,,,,,,,
12009,7264,,,,,,,,
12522,5159,,,,,,,,
12043,8396,,,,,,,,
14548,4056,,,,,,,,
12420,569,,,,,,,,
12742,290,,,,,,,,
12864,28,,,,,,,,
